"post_id","page_id","page_name","title","description","post_type","duration_sec","publish_time","year","month","day","time","permalink","is_crosspost","is_share","funded_content_status","reach","shares","comments","reactions","seconds_viewed","average_seconds_viewed","impressions"
"1075802507240094","100044310645639","SUGARCANE","Beyond grateful to have been a part of #MissBaguio2024 Coronation Night! 

Huge shoutout to everyone who made this amazing event happen — from the team behind the scenes to the contestants who brought their A-game. Couldn't have asked for a better night! Thank you! 

: Angelo Sanidad of A’s Shots 

#MUPHBaguio2024 
Miss Baguio",NULL,"Photos","0.00","2024-09-01 23:57:00",2024,9,1,"23:57:00","https://www.facebook.com/thesugarcaneph/posts/pfbid05RsAYuH5atef98CT8UXr5ch3hb7YCzZ1Eaf9cWwKNrzU7NuFcQ4yoA3wfHKqBHfyl",False,False,"NaN","8698","16","6","347","0.00","0.00",NULL
"1072642374222774","100044310645639","SUGARCANE","Still feeling the energy from We Play Here! A huge thank you to everyone who came out and made it an unforgettable event. 

: Noel Macadangdang of ACNM Media 

Warner Music Philippines",NULL,"Photos","0.00","2024-08-28 03:30:00",2024,8,28,"03:30:00","https://www.facebook.com/thesugarcaneph/posts/pfbid03vc9gyF9pLFEqFo6hDdEjQVhYHibQ5mxx8v7N2gzBhGYa32cxF7qz238YkWuVrx3l",False,False,"NaN","11273","36","25","499","0.00","0.00",NULL
"1071744814312530","100044310645639","SUGARCANE","See you, Baguio!! ",NULL,"Photos","0.00","2024-08-27 00:13:00",2024,8,27,"00:13:00","https://www.facebook.com/thesugarcaneph/posts/pfbid0bAjJZqZYFfXPTX8f1poziqYpWiq6xP8ecskrwkF4ue2G1QJUAaU6bYMtmbdm4ZHRl",False,True,"NaN","5755","4","6","182","0.00","0.00",NULL
"1071162084370803","100044310645639","SUGARCANE","We Play Here Campus Tour Highlights | Sugarcane","@[100092286526361:2048:We Play Here] hangover is real! 

Huge thanks to @[100006437491249:2048:Gian Bernardino] for guesting on our set, and to @[100000568784222:2048:Raphaell Ridao], Keanna Magracia, and Cairo Peralta for the support! 

: Ivan Aguillon & Noel Macadangdang of @[100080065946395:2048:ACNM Media] 

@[100064878091978:2048:Warner Music Philippines]","Videos","0.00","2024-08-26 03:09:00",2024,8,26,"03:09:00","https://www.facebook.com/thesugarcaneph/videos/8283124031766460/",False,False,"NaN","12153","71","13","1044","105709.08","9.04",NULL
"1070551234431888","100044310645639","SUGARCANE","Last night was 

Thank you for sharing the stage with us, Gian Bernardino!

#WePlayHere
Warner Music Philippines",NULL,"Photos","0.00","2024-08-25 05:23:00",2024,8,25,"05:23:00","https://www.facebook.com/thesugarcaneph/posts/pfbid0VeXUBcgLGscPsdu2uxtcQJe2MS93pgwmJSXSKenD481YAbz4cigM3K65NmMB8x6Rl",False,False,"NaN","12249","33","16","646","0.00","0.00",NULL
"1069662354520776","100044310645639","SUGARCANE","",NULL,"Videos","0.00","2024-08-23 22:02:00",2024,8,23,"22:02:00","https://www.facebook.com/thesugarcaneph/posts/pfbid0fkSNvvqCyf9ErZKxH7WPFikPLseDAYcphgzRyfJ7PbFiYnotdZt4EkehD7QhNSyUl",False,True,"NaN","2450","0","1","129","0.00","0.00",NULL
"1068961004590911","100044310645639","SUGARCANE","Kita kits tayo mamaya sa UP Diliman, folks!! ",NULL,"Photos","0.00","2024-08-22 20:24:00",2024,8,22,"20:24:00","https://www.facebook.com/thesugarcaneph/posts/pfbid024LdcSLPQdLLgG9sxjY6deZGDhoXSk4SM6QRk8FphwaxSWQ7qPzEqUGkAN3Dzb5edl",False,True,"NaN","6678","4","7","185","0.00","0.00",NULL
"1067579818062363","100044310645639","SUGARCANE","Ayala Malls TriNoma was on fire at Crash Adams'  tour! Beyond thrilled to have been part of such an unforgettable experience. 

: Noel Macadangdang & Adrienne Corales",NULL,"Photos","0.00","2024-08-21 00:32:00",2024,8,21,"00:32:00","https://www.facebook.com/thesugarcaneph/posts/pfbid02Vo9oxQQNBUdPaH4LUspYjdb6NrBqak2MpoDY3yYDtdy9K5Kr1npDZiwyq7VZULJtl",False,False,"NaN","12896","41","20","564","0.00","0.00",NULL
"1110346770452334","100044310645639","SUGARCANE","Hirap naman ng ganito ","Hirap naman ng ganito ","Reels","0.00","2024-10-20 02:09:00",2024,10,20,"02:09:00","https://www.facebook.com/reel/2358209871203749/",True,False,"NaN","173480","2474","923","8810","715405.41","4.38",NULL
"1077170883769923","100044310645639","SUGARCANE","Online muna habang maulan... next time sa tapat naman ng bahay nyo ","Online muna habang maulan... next time sa tapat naman ng bahay nyo 

Stream ""Pagbigyan"" here: sugarcane.lnk.to/pagbigyan","Videos","0.00","2024-09-04 03:13:00",2024,9,4,"03:13:00","https://www.facebook.com/thesugarcaneph/videos/532077102689293/",False,False,"NaN","5885","27","43","515","79251.92","9.51",NULL
"1120942692726075","100044310645639","SUGARCANE","Bakit lagi syang nakangiti pag tumatawag shopee 

Pre-save the song here
https://sugarcane.lnk.to/presavelaginalang","Bakit lagi syang nakangiti pag tumatawag shopee 

Pre-save the song here
https://sugarcane.lnk.to/presavelaginalang","Reels","0.00","2024-11-04 01:54:00",2024,11,4,"01:54:00","https://www.facebook.com/reel/8454296358014054/",True,False,"NaN","110283","208","34","3356","982202.62","9.34",NULL
"1120807579406253","100044310645639","SUGARCANE","Palitan mo na battery mo 

Pre-save the song here: sugarcane.lnk.to/presavelaginalang","Palitan mo na battery mo 

Pre-save the song here: sugarcane.lnk.to/presavelaginalang","Reels","0.00","2024-11-03 20:35:00",2024,11,3,"20:35:00","https://www.facebook.com/reel/3398758747094976/",True,False,"NaN","5775","14","10","195","26736.27","4.95",NULL
"980197593467253","100044310645639","SUGARCANE","Tag mo nga yung pinakamagandang dalaga sa buhay mo   STREAM HERE: sugarcane.lnk.to/mariaclara","Tag mo nga yung pinakamagandang dalaga sa buhay mo 

STREAM HERE:
sugarcane.lnk.to/mariaclara","Videos","0.00","2024-04-02 04:32:00",2024,4,2,"04:32:00","https://www.facebook.com/thesugarcaneph/videos/353521154356580/",False,False,"NaN","11581","89","61","845","96808.01","9.42",NULL
"1032668734886805","100044310645639","SUGARCANE","See you sa saturday, folks!! ",NULL,"Photos","0.00","2024-06-27 07:59:00",2024,6,27,"07:59:00","https://www.facebook.com/thesugarcaneph/posts/pfbid0KRxB5wVCwVRouMYF4Nxk1FpXgwc2mqnuBtrpSFu9QryADNJdASCGUfYRRggbtwwGl",False,True,"NaN","5838","1","1","129","0.00","0.00",NULL
